ID,TokenizedWords,TimeStamp
1601381798457774081,"['usual', 'lying', 'moved', 'richieofpi', 'japan', 'suspect']",2022-12-10 01:02:27
1601381797681844230,"['important', 'covid', 'story', ""b'rt"", 'canada', 'like', 'died', 'investigate', 'lauralynntt']",2022-12-10 01:02:27
1601381800961507330,"['operation', 'surgery', 'delayed', 'urgent', 'baby', 'defect', ""b'rt"", 'needed', 'congenital', 'cnn', 'pare', 'heart', 'open', 'survive']",2022-12-10 01:02:28
1601381801628270592,"['economies', 'football', 'money', 'illicit', 'political', 'laundering', 'zeitzoff', 'add', 'work', 'science', 'enters', 'chat']",2022-12-10 01:02:28
1601381802597195778,"['asiste', 'centro', 'prioridad', 'salud', 'jornadadevacunaci', 'sin', ""b'rt"", 'xadzate', 'vtvcanal', 'contra', 'eres', 'adulto', 'inmun', 'mayor', 'cita', 'cercano']",2022-12-10 01:02:28
1601381803755212801,"['picture', 'siu']",2022-12-10 01:02:28
1601381805135122433,"['qui', 'que', 'diffusait', 'publicit', 'pour', 'cois', 'pay', 'non', 'covid', 'parle', 'taient', 'est', 'des', 'les', 'ses', 'dias', 'rafjacob', 'diffuser', 'bessi', 'oui']",2022-12-10 01:02:29
1601381805445111809,"['zerohedge', 'rapped', 'cali', 'guess', 'surprised', 'reps']",2022-12-10 01:02:29
1601381801632890880,"['https', 'gqefeuf', 'xaf']",2022-12-10 01:02:28
1601381804128481280,"['infobae', 'antes', 'recibir', 'cahn', 'pedro', 'farsa', 'abortero', 'sostener', 'est', 'desesperados', 'por']",2022-12-10 01:02:28
1601381805047021568,"['que', 'firmado', 'consentimiento', 'alguna', 'covid', 'persona', 'vacunada', 'hecho', 'estudio', ""b'rt"", 'contra', 'previo', 'clinico', 'juliorazona', 'hayan', 'conoce']",2022-12-10 01:02:29
1601381805793325056,"['ive', 'guys', 'illness', 'severe', 'hard', 'cobratate', 'seeing', 'hey', 'decid', ""b'rt"", 'antivaxxers', 'thinking', 'suffering', 'death', 'long']",2022-12-10 01:02:29
1601381808465391619,"['xafscience', 'art', 'xbb', 'xaf', 'xaa', 'xac', ""b'rt"", 'xbd', 'xbc', 'xab', 'xbf', 'xba', 'xae', 'murano']",2022-12-10 01:02:30
1601381807878205440,"['gente', 'que', 'cucaracha', 'falta', 'doctormeechum', 'por', 'covid', 'excusa', 'dicen', ""b'rt"", 'acto', 'una', 'bajo']",2022-12-10 01:02:29
1601381805957222401,"['share', 'shocking', 'delbigtree', 'future', 'cares', 'hour', 'minute', ""b'rt"", 'hearing', 'edit', 'senate']",2022-12-10 01:02:29
1601381809232973824,"['rapid', 'covid', 'dailyjlee', 'tests', ""b'rt"", 'come', 'price', 'shifted', 'stay', 'need', 'packs']",2022-12-10 01:02:30
1601381812307386369,"['tetap', 'segeragantile', 'penyebaran', 'guna', 'uplj', 'berakhir', 'covid', 'itu', 'menerapkan', 'lupa', 'untuk', 'memutuskan', ""b'covid"", 'belum', 'jangan', 'protokol', 'dwmdb', 'https', 'kesehatan']",2022-12-10 01:02:30
1601381812202532865,"['springraysbt', 'plan', 'evil', 'world', 'depopulate', 'people']",2022-12-10 01:02:30
1601381813649539072,"['better', 'feel', 'joshyo', 'covid']",2022-12-10 01:02:31
1601381812441591808,"['free', 'buy', 'throw', 'cobratate']",2022-12-10 01:02:30
1601381812705857537,"['gente', 'conn', 'risa', 'asco', 'covid', 'sos', 'juntar', 'para', 'das', ""b'rt"", 'acto', 'sica', 'declar', 'tan', 'torpe', 'ladyama', 'consigui', 'mierda']",2022-12-10 01:02:31
1601381811720163328,"['beetles', 'follow', 'apparently', 'just', 'absence', 'looking', 'saying', 'nhttps', 'day', 'scientists', ""b'someone"", 'qcetjag', 'christmas']",2022-12-10 01:02:30
1601381811925360640,"[""b'rt"", 'professionals', 'medical', 'tiffanyandsadie', 'ruin', 'did', 'trust', 'covid']",2022-12-10 01:02:30
1601381811963461632,"['sum', 'brittkimble', 'dont', 'symptoms']",2022-12-10 01:02:30
