ID,TokenizedWords,TimeStamp
1601385667405021185,"['altamente', 'que', 'peligrosa', 'por', 'covid', 'posibilidad', 'existe', 'xad', ""b'rt"", 'cristina', 'muere', 'voy', 'enriquekohnen', 'creer', 'esa', 'reci', 'enfermedad']",2022-12-10 01:17:50
1601385667665108992,"['pschmaling', 'suspended', 'senator', 'false', 'vaccinations', 'covid', 'danger', 'information', 'denmark', 'way', 'misleading', 'spreading', 'kids', 'senronjohnson', 'suspension', 'vaccine', 'real', 'related', 'dangerous']",2022-12-10 01:17:50
1601385665014689792,"['xbb', 'xaf', 'xaa', 'xad', 'xac', 'rsv', ""b'rt"", 'xbd', 'brsv', 'xbc', 'xab', 'xbe', 'xef', 'xbf', 'influenzer', 'xae', 'xaersv', 'ncovid']",2022-12-10 01:17:49
1601385664532008960,"['cause', 'money', 'lock', 'killed', 'eluauv', 'masks', 'air', 'make', ""b'covid"", 'send', 'countries', 'https', 'country', 'doing', 'wear', 'people', 'reason', 'pollution']",2022-12-10 01:17:49
1601385664939196417,"['https', 'ztkelly', 'mftchiefnurse', 'mftnhs', 'qtvlwa']",2022-12-10 01:17:49
1601385665534791682,"['farmersequator', 'tifsembiring', 'daengwahidin', 'swaritonang', 'ycnwkgm', 'mprri', 'poestri', 'dpdri', 'daengghoff', 'yedidakaren', 'haki', 'mochatma', 'elizabethlisa', 'reflyhz', 'kopirobusta', 'faisalbasri', 'https', 'aliyudinrahman', 'sahrulsinaga', 'komnasham', 'personal', 'ombudsmanri', 'usnierlangga']",2022-12-10 01:17:49
1601385667153756160,"[""b'https"", 'yvum']",2022-12-10 01:17:50
1601385667862626304,"['xbb', 'xaf', 'xaa', 'xad', ""b'rt"", 'xbc', 'xef', 'xbe', 'xab', 'xbf', 'unkotaberuno', 'xae']",2022-12-10 01:17:50
1601385664712695808,"['pandemic', 'certainly', 'thoughts', 'albomp', 'mark', 'glad', 'finally', ""b'rt"", 'nyour', 'immunity', 'kicked', 'herd', 'neopseudo']",2022-12-10 01:17:49
1601385665287327745,"[""b'rt"", 'pawankalyan', 'pawanismnetwork']",2022-12-10 01:17:49
1601385668109664258,"['officials', 'misconceived', 'fail', 'national', 'covid', 'framework', 'ignoring', ""b'rt"", 'destined', 'cstrategic', 'dom', 'amp', 'cabinet', 'nthe']",2022-12-10 01:17:50
1601385669808754688,"['pretty', 'xbb', 'xaf', 'xaa', 'xad', ""b'rt"", 'xbd', 'xbc', 'xef', 'xab', 'xbf', 'arts', 'xae']",2022-12-10 01:17:50
1601385671922712577,"['movement', 'donor', 'list', 'people', 'removing', 'diedsuddenly']",2022-12-10 01:17:51
1601385671066648578,"['cones', ""b'the"", 'don', 'usually', 'machine', 'luckily', 'rolling', 'folks', 'roll', 'bowl']",2022-12-10 01:17:50
1601385668974116864,"['xbb', 'xaf', 'try', 'xaa', 'central', 'xad', 'obkeis', 'necessary', 'xbe', 'remember', 'https', 'nincluding', 'american', 'science']",2022-12-10 01:17:50
1601385670341115905,"['projected', ""b'the"", 'officials', 'xkydxgcvk', 'dhs', 'covid', 'reach', 'attempted', 'number', 'nhttps', 'ban', 'day', 'ends', 'crossings', 'increase', 'said']",2022-12-10 01:17:50
1601385670903095296,"[""b'rt"", 'https', 'xvjrjrvkwm', 'fakekittzy', 'sneeze', 'exists', 'suddenly', 'remember', 'covid']",2022-12-10 01:17:50
1601385670110740481,"['https', 'hqmteij', 'arts', 'xbf', 'xba', ""b'love""]",2022-12-10 01:17:50
1601385671855599616,"['seymourforless', 'ngoldwhiskey', 'year', 'jesseo', 'polio', 'mspottmeyer', 'tedly', 'aliciam', 'claytravis', 'vaccinated', 'people', 'died']",2022-12-10 01:17:51
1601385671826239490,"['better', 'impressive', 'virulent', 'super', 'deal', 'stain', 'luckily', 'hope', 'soon', 'johnnybutleriii', 'work', 'long']",2022-12-10 01:17:51
1601385669577695232,"['share', 'shocking', 'delbigtree', 'future', 'cares', 'hour', 'minute', ""b'rt"", 'hearing', 'edit', 'senate']",2022-12-10 01:17:50
1601385672786743297,"['pfizer', 'transmission', 'covid', 'rob', 'director', ""b'rt"", 'nin', 'hearing', 'preventing', 'breaking', 'tested', 'roos', 'admits', 'vaccine']",2022-12-10 01:17:51
1601385671507443713,"['https', 'pawankalyan', 'mxb', 'papam']",2022-12-10 01:17:51
1601385676297367552,"['got', 'covid', 'just', 'left', 'trhlofficial', 'rampant', 'family', 'doctor', 'unfortunately', 'visited', 'love', 'florida', 'people', 'true', 'said']",2022-12-10 01:17:52
1601385673545555968,"['augustine', 'fundraiser', 'friends', ""b'rt"", 'desantis', 'good', 'list', 'gal', 'stermon', 'short', 'suburban', 'recalled', 'kent']",2022-12-10 01:17:51
1601385675068407808,"[""b'rt"", 'marconovaordem', 'kkkkk', 'covid']",2022-12-10 01:17:51
1601385674875490305,"['natural', 'medicines', 'xxu', 'horns', 'showing', 'trying', 'ban', 'wmb', 'https', 'barda', 'fda']",2022-12-10 01:17:51
1601385674971942914,"['ent', 'que', 'importante', 'causada', 'por', 'covid', 'respi', 'sistema', 'nuestro', ""b'rt"", 'deteriora', 'vtvcanal', 'rate', 'este', 'una', 'virus', 'saber', 'enfermedad']",2022-12-10 01:17:51
1601385674749669376,"['gop', 'prescribed', 'actually', 'senlouiselucas', 'medicine', 'prevent', 'science', 'use', 'harm', 'people', 'disbelief']",2022-12-10 01:17:51
1601385674753863680,"['important', 'jill', 'thing', 'holidays', 'covid', 'nhtt', 'prepare', ""b'rt"", 'biden', 'updated', 'niceblackdude', 'cthe', 'vaccine']",2022-12-10 01:17:51
1601385673834917888,"['shots', 'non', 'bosnerdley', 'criminals', 'experimental', 'vaxed', 'people', 'dying', 'covid']",2022-12-10 01:17:51
1601385674925449216,"['lanamontalban', 'xbb']",2022-12-10 01:17:51
1601385680005140481,"['pawan', 'latest', 'upcoming', 'shreyasgroup', 'kalyan', 'pawankalyan', 'session', 'martial', 'practice', ""b'rt"", 'pic', 'film', 'arts', 'hariharaveeramallu']",2022-12-10 01:17:53
1601385679803801601,"[""b'rt"", 'interesting', 'come', 'suppression', 'twitterfiles', 'johnruddick', 'chapter', 'related', 'truth', 'covid']",2022-12-10 01:17:53
1601385679862530049,"[""b'rt"", 'interesting', 'come', 'suppression', 'twitterfiles', 'johnruddick', 'chapter', 'related', 'truth', 'covid']",2022-12-10 01:17:53
1601385677928955904,"['better', 'feel', 'nycversxxx', 'hope', 'soon']",2022-12-10 01:17:52
1601385680105795585,"['qatar', 'daddyhope', 'reunion', 'makambira', 'caf', ""b'rt"", 'doha', 'great', 'classmates', 'nkennedy', 'cityunilondon', 'today', 'london']",2022-12-10 01:17:53
1601385683461214209,"['happy', 'far', 'animation', 'lovely', 'wanted', ""b'rt"", 'mizzpeachy', 'elloo', 'week', 'hope', 'dub', 'day', 'arts', 'late', 'nwe']",2022-12-10 01:17:53
1601385684862107655,"[""b'whether"", 'concern', 'share', 'respect', 'donors', 'ninstead', 'blood', 'took', 'sickening', 'unvaccinated', 'nthere', 'yilrwyr', 'baby', 'irrelevant', 'heartbreaking', 'ntruly', 'wrong', 'wishes', 'arranged', 'https', 'away', 'parents', 'reason']",2022-12-10 01:17:54
1601385683389534208,"[""b'rt"", 'ozraeliavi', 'files', 'release', 'covid']",2022-12-10 01:17:53
1601385685369622528,"[""b'rt"", 'realrawnews', 'https', 'cxkdrs', 'gsu']",2022-12-10 01:17:54
1601385681208901632,"['fuck', 'pushers', 'nicely', 'vaccine', 'line', 'sentence']",2022-12-10 01:17:53
1601385683394105344,"[""b'rt"", 'brixwe']",2022-12-10 01:17:53
1601385685419978752,"['households', 'food', 'buyinza', 'nutrient', 'mainly', 'kilimani', ""b'rt"", 'farming', 'intake', 'mguloba', 'crop', 'policy', 'affects', 'amp', 'commercialization']",2022-12-10 01:17:54
1601385688729284609,"['frontend', 'writing', 'build', 'deploy', 'just', 'vrnpchtyp', 'aka', 'command', 'api', 'single', 'scenes', 'nhttps', 'enables', 'launched', 'time', 'compiles', 'python', 'job', ""b'pynecone"", 'calls', 'backend']",2022-12-10 01:17:55
1601385687827513345,"['https', 'sdz', 'keetmuise', 'qkzcav']",2022-12-10 01:17:54
1601385688095633408,"['shed', 'doctors', 'covid', 'distinguished', 'robertkennedyjr', 'current', ""b'rt"", 'senronjohnson', 'roundtable', 'vaccines', 'light', 'knowledge', 'surrounding', 'lead']",2022-12-10 01:17:55
1601385686061359104,"['exactly', 'deaths', 'new', 'ppl', 'damn', 'record', 'facts', 'cases', 'don', 'just', 'active', 'keeping', 'proper', 'week', 'markmcgowanmp', 'aware', 'surely']",2022-12-10 01:17:54
1601385688208838656,"['andybxxx', 'don', 'think', 'variants', 'future', 'variant']",2022-12-10 01:17:55
1601385689513594880,"['pawankalyan', 'xef', 'dusted']",2022-12-10 01:17:55
1601385690574774278,"['fran', 'muta', 'lago', 'casaretto', 'murci', 'capaz']",2022-12-10 01:17:55
1601385690322808832,"['cieeicee', 'gabrielnakamur']",2022-12-10 01:17:55
1601385690574376960,"['try', 'message', 'def', 'projects', 'trouble', 'shoot', 'run', ""b'if""]",2022-12-10 01:17:55
1601385690964537344,"['rabi', 'statement', 'english', 'grave', 'video', ""b'rt"", 'nlet', 'dig', 'iylfb', 'hates', 'titled', 'audio']",2022-12-10 01:17:55
1601385692445433857,"['adults', 'covid', 'hospitals', 'just', 'shit', ""b'rt"", 'kids', 'anymore', 'near', 'flu', 'rsvirus', 'tripledemic', 'capacity', 'holy', 'drericding']",2022-12-10 01:17:56
1601385694873923584,"['antagonista', 'consegue', 'montanha', 'marcosm', 'palomasilverio', 'madrodz', 'enxergar', 'kkk', 'piada', 'algu']",2022-12-10 01:17:56
1601385696794931202,"['managed', 'water', 'stings', 'food', 'covi', 'impossible', 'finally', ""b'rt"", 'hope', 'walking', 'literally', 'chibidokii']",2022-12-10 01:17:57
1601385694697754626,"['llama', ""b'ahora"", 'covid', 'juntar', 'twlsp', 'esclavos', 'xef', 'https', 'qfzs']",2022-12-10 01:17:56
1601385696417447937,"['bennyjohnson', 'parade', 'idiots']",2022-12-10 01:17:56
1601385696207380482,"[""b'rt"", 'interesting', 'come', 'suppression', 'twitterfiles', 'johnruddick', 'chapter', 'related', 'truth', 'covid']",2022-12-10 01:17:56
1601385696844865537,"[""b'the"", 'inevitably', 'barbed', 'science', 'win', 'wire', 'armies']",2022-12-10 01:17:57
1601385697222369283,"[""b'rt"", 'https', 'fighthaven', 'kung', 'intqe', 'china', 'master', 'threatens', 'workers', 'covid', 'legendary']",2022-12-10 01:17:57
1601385696241254400,"['bachelors', 'wait', 'graduating', 'married', 'just', 'home', ""b'rt"", 'feminists', 'isabellamdeluca', 'stay', 'science']",2022-12-10 01:17:56
1601385694693560320,"['armadas', 'aniversario', 'revolucionarias', 'las', 'usted', 'anisleyfuentes', 'del', ""b'rt"", 'felicidades', 'eros', 'desembarco', 'fuerzas', 'granma', 'compa']",2022-12-10 01:17:56
1601385697700716544,"[""b'anti"", 'https', 'izqyzmnnv', 'vaxxer']",2022-12-10 01:17:57
1601385701836488704,"[""b'rt"", 'xbd', 'xbc', 'xbb', 'xbe', 'xbf', 'investingru', 'xba']",2022-12-10 01:17:58
1601385698992730112,"['lips', 'accommodate', 'facts', 'narrative', 'moves', 'distorts', 'proves', 'rncresearch', 'science']",2022-12-10 01:17:57
1601385698489430017,"['masquant', 'article', 'leur', 'ils', 'enfant', 'illustrent', 'lci']",2022-12-10 01:17:57
1601385700661678080,"['thoughts', 'happened', 'factually', 'month', 'covid', 'dozens', 'issues', 'minimizing', 'incorrect', 'embarrassment', 'issue', 'dismissing', 'spoke', 'day', 'time', 'hqkcnolcmg', 'https', 'article', 'newrepublic', 'scientists', ""b'another"", 'media', 'long', 'nthe']",2022-12-10 01:17:58
1601385699604721664,"[""b'rt"", 'god', 'https', 'science', 'used', 'lga', 'ktirdd', 'patrols', 'font']",2022-12-10 01:17:57
1601385701417062402,"['don', 'beachgirljan']",2022-12-10 01:17:58
1601385699311173632,"[""b'rt"", 'ozraeliavi', 'files', 'release', 'covid']",2022-12-10 01:17:57
1601385698766249985,"['https', 'msandreamarie', 'ctvnews', 'bbgqxpwwk']",2022-12-10 01:17:57
1601385699319902208,"['danois', 'bah', 'isoler', 'pour', 'bravo', 'moins', 'covid', 'rappelle', ""b'rt"", 'les', 'divasonic', 'rhume', 'vaccins', 'lire', 'stop', 'sont', 'interdits', 'oui']",2022-12-10 01:17:57
1601385704453734400,"['polaroidleo', 'mis', 'porque', 'sobornan', 'padres']",2022-12-10 01:17:58
1601385703287312385,"['morgan', 'covid', 'brixwe', 'uulat', ""b'rt"", 'absolutely', 'nhttps', 'scam', 'tate', 'andrew', 'ncredit', 'spot', 'david']",2022-12-10 01:17:58
1601385704285958144,"['gives', 'headed', 'covid', 'thevenusdarling', 'way', 'everybody']",2022-12-10 01:17:58
1601385705678475264,"['black', 'pawankalyan', 'belt', 'martial', 'action', ""b'rt"", 'holder', 'addicts', 'yipdy', 'https', 'arts', 'hariharaveeramallu']",2022-12-10 01:17:59
1601385705753624577,"['ready', 'lovetocook', 'yup', 'vaccine']",2022-12-10 01:17:59
1601385703082196992,"['households', 'greater', 'food', 'improves', 'usman', 'consumption', 'smallholder', 'dietary', ""b'rt"", 'hailemac', 'policy', 'markets', 'diversity', 'expendit', 'amp', 'access']",2022-12-10 01:17:58
1601385706194026496,"['production', 'problematic', 'plastics', 'reveals', 'qzugozvw', 'agency', 'treaty', 'tackle', 'reuters', 'japan', 'news', 'https', ""b'reuters"", 'says']",2022-12-10 01:17:59
1601385707997523968,"[""b'rt"", 'modestyqueen', 'shot', 'fold', 'pressure', 'definitely', 'snitching', 'got', 'covid']",2022-12-10 01:17:59
1601385708354408448,"['elements', 'wave', 'july', 'covid', 'crabbbrendan', 'given', 'aug', ""b'rt"", 'good', 'led', 'worst', 'exacerbated', 'chance']",2022-12-10 01:17:59
1601385708299878402,"['xaa', 'condena', 'cyngarciaradio', 'pobrecita', 'las', 'bajo', 'defensas', 'chorra', 'nla', 'cfkargentina']",2022-12-10 01:17:59
1601385707242942466,"['npsychology', 'nquizzes', 'nfinance', 'nbiology', 'pay', 'nlaw', 'gmail', 'nmaths', 'ngeography', 'essays', 'ncalculus', 'nhomework', 'music', 'nchicago', 'npython', ""b'quality"", 'nemail', 'nenglish', 'nexams', 'finalpaper', 'neconomics', 'nessay', 'assignimentwriter', 'nchemistry', 'work', 'research', 'delivery', 'nstats', 'nessays', 'com', 'timely', 'nassignments', 'onlineclass']",2022-12-10 01:17:59
1601385709465923584,"['sweeping', 'clear', 'viral', 'prevalent', 'health', 'infections', 'bachyns', 'message', 'cdoctors', ""b'rt"", 'country', 'public', 'say', 'simple']",2022-12-10 01:18:00
1601385708794830848,"['autopsia', 'npor', 'estudia', 'covid', 'vacunas', 'las', 'repentinas', 'del', ""b'rt"", 'nun', 'muertes', 'nuevo', 'informe', 'beatriztalegon', 'relaci', 'actualidad']",2022-12-10 01:17:59
1601385708026855424,"['modestyqueen', 'ignorance', 'category', 'egregious']",2022-12-10 01:17:59
1601385710317031424,"['bennyjohnson', 'live', 'vacuum', 'freaking']",2022-12-10 01:18:00
1601385708245356544,"['startribune', 'vibrant']",2022-12-10 01:17:59
1601385708739956738,"['ive', 'guys', 'illness', 'severe', 'hard', 'cobratate', 'seeing', 'hey', 'decid', ""b'rt"", 'antivaxxers', 'thinking', 'suffering', 'death', 'long']",2022-12-10 01:17:59
1601385706282422272,"['https', 'jack', 'dxlwj']",2022-12-10 01:17:59
1601385708153114624,"['tiffanyandsadie', 'yes']",2022-12-10 01:17:59
1601385711973842947,"['https', 'employee', 'democrat', ""b'fact"", 'science', 'republican', 'nvtm', 'lofib']",2022-12-10 01:18:00
1601385711655010304,"['covid', 'bay', 'communities', ""b'rt"", 'like', 'dph', 'czbiohub', 'organizations', 'local', 'area', 'healthequity', 'ucsf', 'advancing']",2022-12-10 01:18:00
1601385710233305097,"['xbfqu', ""b'covid""]",2022-12-10 01:18:00
1601385713513398272,"['allocated', 'billion', 'grant', 'business', 'fund', 'money', 'budget', 'got', 'covid', 'indy', 'councils', 'missing', 'slashed', 'wrong', 'sharpeshirley', 'guy', 'realise', 'doubt', 'govt', 'funding', 'snp', 'council']",2022-12-10 01:18:01
1601385712393555968,"[""b'rt"", 'jvipondmd']",2022-12-10 01:18:00
1601385713848975361,"['coerced', 'response', 'covid', 'government', 'vilified', ""b'rt"", 'berniespofforth', 'didn', 'lied', 'agree']",2022-12-10 01:18:01
1601385711667904512,"['nyc', 'new', 'mention', 'covid', 'nycmayor', 'nstill', ""b'rt"", 'nycheal', 'reported', 'mssarahmssarah', 'pediatric', 'death']",2022-12-10 01:18:00
1601385715295666177,"['aumentan', 'tasa', 'mortalidad', 'sigue', 'nfacebook', 'xqtnfld', 'jcnjtpebai', 'ghngxehx', 'johnson', 'covid', 'vacunas', 'las', 'ron', 'ninstagram', 'del', 'mesa', 'revela', 'myxc', 'https', 'senador', 'analista', 'ehttps', 'trikooba', 'ntelegram', 'redonda']",2022-12-10 01:18:01
1601385718613692417,"['dougcameron', 'thought', 'covid', 'health', 'abandoned', 'rip', 'helphelpandhelp', 'state', 'support', 'year', 'alp', 'abd', 'let', 'areas', 'fed', 'shame', 'ministers', 'leaders', 'policies', 'danielandrewsmp']",2022-12-10 01:18:02
